name,brand,model,memory size,memory type,price
MSI GeForce RTX™ 3050 GAMING X BLK 8GB GDDR6 128BIT Graphics Card,MSI,RTX 3050,8GB,GDDR6,15300.0
MSI GeForce® GTX 1650 VENTUS XS OCV1/V2 4GB GDDR5 128BIT Graphics Card,MSI,GTX 1650,4GB,GDDR5,9500.0
GIGABYTE RX6400 EAGLE 4GB GDDR6 64BIT Graphics Card,Gigabyte,RX 6400,4GB,GDDR6,9500.0
GIGABYTE GeForce RTX™ 3050 GAMING OC 8GB GDDR6 128BIT Graphics Card,Gigabyte,RTX 3050,8GB,GDDR6,19850.0
GIGABYTE GeForce RTX™ 3050 EAGLE OC 8GB GDDR6 128BIT Graphics Card,Gigabyte,RTX 3050,8GB,GDDR6,19150.0
GIGABYTE GeForce RTX™ 3050 EAGLE 8GB GDDR6 128BIT Graphics Card,Gigabyte,RTX 3050,8GB,GDDR6,18750.0
GIGABYTE GeForce® GTX 1660Ti OC 6GB DDR6 192BIT Graphics Card,Gigabyte,GTX 1660T,6GB,GDDR6,15800.0
GIGABYTE GeForce® GTX 1650 OC 4GB GDDR5 128BIT Graphics Card,Gigabyte,GTX 1650,4GB,GDDR5,10500.0
GIGABYTE GeForce® GTX 1650 LOW PROFILE OC 4GB GDDR5 128BI Graphics Card,Gigabyte,GTX 1650,4GB,GDDR5,9950.0
GIGABYTE GeForce® GTX 1050Ti 4GB GDDR5 128BIT Graphics Card,Gigabyte,GTX 1050T,4GB,GDDR5,9500.0
GALAX GeForce® GTX 1650 EX-1 CLICK OC 4GB DDR6 128BIT Graphics Card,Galax,GTX 1650,4GB,GDDR6,9800.0
GALAX GeForce® GTX 1050Ti OC 4GB GDDR5 128BIT Graphics Card,Galax,GTX 1050T,4GB,GDDR5,9300.0
COLORFUL GeForce® GTX 1650 NEW BATTLEAX 4GB DDR6 128BIT Graphics Card,COLORFUL,GTX 1650,4GB,GDDR6,10800.0
ASUS RX6500XT TUF GAMING OC 4GB GDDR6 64BIT Graphics Card,Asus,RX 6500 XT,4GB,GDDR6,9800.0
ASUS GeForce RTX ™ 3090 ROG STRIX EVA OC 24GB GDDR6X 384BI Graphics Card,Asus,RTX 3090,24GB,GDDR6X,105150.0
