name,vram,gddr,brand,price
GIGABYTE GeForce® GTX 1660Ti OC 6GB DDR6 192BIT Graphics Card,6GB,GDDR6,Gigabyte,15800.0
GIGABYTE GeForce® GTX 1650 OC 4GB GDDR5 128BIT Graphics Card,4GB,GDDR5,Gigabyte,10500.0
GIGABYTE GeForce® GTX 1650 LOW PROFILE OC 4GB GDDR5 128BI Graphics Card,4GB,GDDR5,Gigabyte,9950.0
GIGABYTE GeForce® GTX 1050Ti 4GB GDDR5 128BIT Graphics Card,4GB,GDDR5,Gigabyte,9500.0
GALAX GeForce® GTX 1650 EX-1 CLICK OC 4GB DDR6 128BIT Graphics Card,4GB,GDDR6,Galax,9800.0
GALAX GeForce® GTX 1050Ti OC 4GB GDDR5 128BIT Graphics Card,4GB,GDDR5,Galax,9300.0
COLORFUL GeForce® GTX 1650 NEW BATTLEAX 4GB DDR6 128BIT Graphics Card,4GB,GDDR6,COLORFUL,10800.0
ASUS RX6500XT TUF GAMING OC 4GB GDDR6 64BIT Graphics Card,4GB,GDDR6,Asus,9800.0
ASUS GeForce RTX ™ 3090 ROG STRIX EVA OC 24GB GDDR6X 384BI Graphics Card,24GB,GDDR6X,Asus,105150.0
ASUS GeForce RTX™ 3050 TUF GAMING OC 8GB GDDR6 128BIT Graphics Card,8GB,GDDR6,Asus,16800.0
ASUS GeForce RTX™ 3050 PHOENIX NON-OC 8GB GDDR6 128 BIT Graphics Card,8GB,GDDR6,Asus,15900.0
ASUS GeForce RTX ™ 3050 DUAL OC 8GB GDDR6 128BIT Graphics Card,8GB,GDDR6,Asus,16350.0
ASUS GeForce® GTX 1650 PH OC 4GB GDDR6 128BIT Graphics Card,4GB,GDDR6,Asus,8800.0
ASUS GT1030-SL 2GB BRK GDDR5 64BIT Graphics Card,2GB,GDDR5,Asus,4500.0
INNO3D GTX1630 TWIN X2 OC (N16302-04D6X) 4GB GDDR6 64BIT Graphics Card,4GB,GDDR6,Inno3D,7995.0
COLORFUL GTX1630 NEW BATTLEAX (NB 4GD6-V) 4GB GDDR6 64BIT Graphics Card,4GB,GDDR6,COLORFUL,8300.0
COLORFUL GeForce RTX 2060 NEW BATTLEAX 6GB GDDR6 192BIT Graphics Card,6GB,GDDR6,COLORFUL,17500.0
GIGABYTE GeForce® GTX 1650 OC 4GB GDDR6 128BIT (GV-N1656OC-4GD) Graphics Card,4GB,GDDR6,Gigabyte,15500.0
ASUS TUF Gaming GeForce® GTX 1650 OC Edition 4GB GDDR6 128-bit Graphics Card,4GB,GDDR6,Asus,10800.0
ASUS TUF Gaming GeForce® GTX 1660 Ti EVO OC Edition 6GB GDDR6 192-bit Graphics Card,6GB,GDDR6,Asus,20900.0
Colorful GeForce® GTX 1660 SUPER™ NEW BATTLEAXE 6GB GDDR6 192BIT Graphics Card,6GB,GDDR6,COLORFUL,14200.0
MSI GeForce RTX™3060 VENTUS 2X 12G OC 12GB GDDR6 192BIT Graphics Card,12GB,GDDR6,MSI,19500.0
